Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-407.6304	94.9761	-301.9519	-511.01123	1000.0	-0.08104521	0.15881701	0.5168244	-0.55904454	4000	-1.03592875e-07	1675.336	-0.057146914	-464.96484	0.91893864	0.011829969	0.26025	79.0	3.414501190185547
1	-267.60416	98.453514	-201.05038	-437.62616	1000.0	-7.0195985	1.5578213	0.528601	-9.247258	8000	-8.46386e-09	736.9765	-0.045039754	-187.7248	0.9090718	0.015176453	0.22825	45.0	5.909532308578491
2	-179.92743	37.786175	-133.92647	-234.4961	1000.0	-14.125459	1.1800271	0.95337844	-14.697755	12000	1.192093e-10	205.07184	-0.05648736	-8.715042	0.90572715	0.012286152	0.25675	79.0	8.475714206695557
3	-140.04651	46.05688	-69.249435	-197.83498	1000.0	-15.179671	1.7441286	2.3962014	-16.099253	16000	6.3180923e-09	191.43164	-0.04721432	-9.539322	0.90183336	0.015075843	0.22725	48.0	10.940303802490234
4	-281.43353	80.68263	-156.18329	-381.50668	1000.0	-14.102002	2.821388	7.0645275	-16.137909	20000	-4.1425228e-09	466.81708	-0.04124044	-143.88889	0.8971936	0.015086647	0.1845	35.0	13.385272979736328
5	-227.43535	58.59455	-126.654816	-266.7038	1000.0	-21.038105	1.3957914	0.87512594	-21.446684	24000	-7.987023e-09	209.51222	-0.04452029	-27.732681	0.8969717	0.01500275	0.2185	39.0	15.880198955535889
6	-169.8812	28.692833	-136.26212	-214.56778	1000.0	-21.58916	3.7527623	12.898053	-23.17372	28000	-8.5830685e-09	171.32356	-0.05056022	-53.888702	0.8887385	0.015229409	0.247	50.0	18.37525987625122
7	-219.39081	108.89636	-93.60253	-363.1631	1000.0	-10.249107	11.923145	21.709743	-22.290512	32000	0.0	535.9931	-0.04202323	-321.55212	0.88090104	0.015101857	0.17875	28.0	20.79481267929077
8	-176.69543	11.246631	-162.36554	-193.36319	1000.0	-17.093649	6.184698	17.847435	-23.183325	36000	-1.3351441e-08	184.39711	-0.045054927	-29.950668	0.8751898	0.015074559	0.2115	36.0	23.25620174407959
9	-116.05959	29.415121	-69.26178	-150.61089	1000.0	-16.826385	4.574956	7.164528	-23.617678	40000	7.152557e-09	152.13628	-0.011683364	-26.931824	0.8694478	0.017360369	0.171	6.0	25.72480010986328
10	-188.62889	57.293133	-94.95916	-250.49641	1000.0	-12.790122	4.583875	9.307429	-23.260233	44000	3.9339065e-09	227.58728	-0.009721843	-41.00441	0.86841106	0.01515494	0.2115	6.0	28.16433572769165
11	-123.4998	14.265077	-112.43565	-147.98318	1000.0	-18.426208	4.7566667	8.424563	-23.690044	48000	-1.9073487e-09	216.09265	-0.051598508	-59.715164	0.8671541	0.015035454	0.2565	54.0	30.697187185287476
12	-181.44612	58.949677	-100.619896	-261.84656	1000.0	-12.212082	6.779527	11.727747	-23.256714	52000	-1.9073487e-09	217.51865	-0.05846494	-49.272278	0.85477895	0.015047812	0.29	71.0	33.254045724868774
13	-96.968864	55.524857	-21.54827	-151.80627	1000.0	-16.360891	6.6327295	18.551966	-23.683556	56000	3.2305717e-08	251.62308	-0.060829874	-111.349075	0.84323984	0.015019907	0.28325	78.0	35.910555839538574
14	-99.27132	57.236687	-40.971947	-163.27876	1000.0	-8.389083	5.592871	16.230463	-23.105227	60000	1.9073487e-09	189.15231	-0.041978642	-15.585358	0.8399199	0.01539554	0.2025	29.0	38.39777088165283
15	-97.641884	80.34582	-22.07941	-232.27121	1000.0	-8.751544	5.413185	11.313858	-22.905039	64000	-1.1920929e-08	178.79105	-0.014096423	-37.86702	0.8312181	0.015264421	0.19375	7.0	40.80611538887024
16	-108.51175	98.038315	38.01182	-235.25935	1000.0	-8.748877	4.5422053	6.6166143	-22.47695	68000	1.4066696e-08	300.25885	-0.03583561	-35.522125	0.8289926	0.015276652	0.1625	26.0	43.26648163795471
17	-33.5043	47.485706	3.0203807	-115.15102	1000.0	-7.756119	6.2304363	11.559564	-23.864126	72000	-2.0384789e-08	125.80195	-0.054262545	-48.15663	0.82185984	0.015146075	0.2655	56.0	45.83337116241455
18	-122.118576	66.9176	-14.006528	-187.63716	1000.0	-3.6693625	3.5700622	8.640031	-20.680075	76000	-2.0861626e-09	275.74197	-0.012098831	-69.78218	0.81744915	0.016128806	0.22	5.0	48.221519231796265
19	-59.70267	62.977303	9.705045	-140.66333	1000.0	-10.342673	4.8696074	7.294811	-23.894798	80000	6.9141386e-09	147.1894	-0.041861564	-29.115997	0.8170799	0.015034694	0.17125	27.0	50.663989543914795
20	-39.779938	39.193943	17.255163	-92.82914	1000.0	-7.2087207	4.6562834	11.632731	-23.020025	84000	1.26361845e-08	244.81595	-0.05525722	-28.765854	0.8124036	0.015143853	0.264	60.0	53.249648571014404
21	-36.017105	77.039314	34.423073	-165.62833	1000.0	-5.646539	6.658577	12.766106	-23.98315	88000	-6.7949295e-09	115.449776	-0.015130879	-34.085785	0.8083267	0.01643083	0.21175	7.0	55.72471022605896
22	-64.594475	47.61008	-7.4091754	-112.79725	1000.0	-2.627555	5.112249	15.679844	-23.78424	92000	-1.8835069e-08	227.93759	-0.011883105	-36.521805	0.807972	0.015888648	0.19275	6.0	58.16692781448364
